RequestURI,StartTime,EndTime,Interval,Duration
req2024-05-12T14:24:11.183855Z0.21204691305081413,1706692193460,1727533764888,0,837970,50
req2024-05-12T14:24:11.191917100Z0.5085770565066261,1706691877480,1727525448908,0,259980,50
req2024-05-12T14:24:11.183855Z0.4169606726474304,1706691867890,1727533439318,0,218400,50
req2024-05-12T14:24:11.191917100Z0.7986873449554194,1706692107220,1727525678648,0,621180,50
req2024-05-12T14:24:11.191917100Z0.885963144908991,1706692140750,1727525712178,0,758310,50
req2024-05-12T14:24:11.191917100Z0.8649786880644197,1706692052270,1727525623698,0,515900,50
req2024-05-12T14:24:11.189911700Z0.26044582978316166,1706692301960,1727527873388,0,1179850,50
req2024-05-12T14:24:11.185856200Z0.13569624773386768,1706692001730,1727531573158,0,434070,50
req2024-05-12T14:24:11.189911700Z0.865748580031389,1706692003200,1727527574628,0,430150,50
req2024-05-12T14:24:11.192918600Z0.12423348500604559,1706691877480,1727524448908,0,258790,50
req2024-05-12T14:24:11.191917100Z0.7386049907931166,1706692285510,1727525856938,0,1173690,50
req2024-05-12T14:24:11.188911700Z0.7676218596272095,1706692068860,1727528640288,0,575330,50
req2024-05-12T14:24:11.188911700Z0.39962818581855253,1706692000120,1727528571548,0,407540,50
req2024-05-12T14:24:11.189911700Z0.45010809191847045,1706692038620,1727527610048,0,515270,50
req2024-05-12T14:24:11.184855Z0.6097729043366725,1706692266120,1727532837548,0,1064070,50
req2024-05-12T14:24:11.189911700Z0.9190946973169483,1706692267380,1727527838808,0,1063720,50
req2024-05-12T14:24:11.185856200Z0.8508532407499483,1706691862360,1727531433788,0,116410,50
req2024-05-12T14:24:11.189911700Z0.681222255278593,1706691877900,1727527449328,0,257390,50
req2024-05-12T14:24:11.189911700Z0.9868483535358115,1706692341090,1727527912518,0,1169910,38
req2024-05-12T14:24:11.185856200Z0.6631311425629907,1706691880700,1727531452128,0,276780,50
req2024-05-12T14:24:11.184855Z0.21021810586589063,1706692137180,1727532708608,0,724150,50
req2024-05-12T14:24:11.191917100Z0.5704952461523506,1706692301610,1727525873038,0,1197700,49
req2024-05-12T14:24:11.186856400Z0.2834609341005667,1706692036030,1727530607458,0,477820,50
req2024-05-12T14:24:11.185856200Z0.2897012236682013,1706692037780,1727531609208,0,481460,50
req2024-05-12T14:24:11.186856400Z0.9427121599424705,1706691862500,1727530433928,0,69440,50
req2024-05-12T14:24:11.183855Z0.4110612796119011,1706692052830,1727533624258,0,519400,50
req2024-05-12T14:24:11.191917100Z0.5644678326247584,1706692283900,1727525855328,0,1173760,50
req2024-05-12T14:24:11.190917600Z0.7058306986551903,1706692137250,1727526708678,0,723240,50
req2024-05-12T14:24:11.191917100Z0.8101976202956761,1706692193250,1727525764678,0,845880,50
req2024-05-12T14:24:11.184855Z0.31134620059821083,1706691910940,1727532482368,0,332850,50
req2024-05-12T14:24:11.191917100Z0.18487104047929848,1706692231120,1727525802548,0,948150,50
req2024-05-12T14:24:11.191917100Z0.019726199194088356,1706692209000,1727525780428,0,875490,50
req2024-05-12T14:24:11.184855Z0.03232811609900754,1706691910310,1727532481738,0,318150,50
req2024-05-12T14:24:11.184855Z0.0055651390188309335,1706691960290,1727532531718,0,335650,50
req2024-05-12T14:24:11.188911700Z0.6879310206568547,1706691863480,1727528434908,0,115990,50
req2024-05-12T14:24:11.192918600Z0.35632561936923635,1706691862430,1727524433858,0,67830,50
req2024-05-12T14:24:11.183855Z0.596729406437055,1706692231120,1727533802548,0,948850,50
req2024-05-12T14:24:11.185856200Z0.26335182770545507,1706692001310,1727531572738,0,434770,50
req2024-05-12T14:24:11.190917600Z0.40312032953101706,1706692105680,1727526677108,0,644700,50
req2024-05-12T14:24:11.192918600Z0.6426868733379866,1706691867190,1727524438618,0,200970,50
req2024-05-12T14:24:11.191917100Z0.6615776561295185,1706691872370,1727525443798,0,214270,50
req2024-05-12T14:24:11.189911700Z0.018059669303232773,1706692300630,1727527872058,0,1179710,50
req2024-05-12T14:24:11.175803600Z0.26790439494413676,1706692193250,1727541764678,0,818860,50
req2024-05-12T14:24:11.186856400Z0.3572898069160646,1706692213550,1727530784978,0,890260,50
req2024-05-12T14:24:11.189911700Z0.2538408820771817,1706692003270,1727527574698,0,430080,50
req2024-05-12T14:24:11.191917100Z0.3444720515701756,1706692067810,1727525639238,0,541030,50
req2024-05-12T14:24:11.174804500Z0.16703045569545272,1706692137320,1727542708748,0,723520,50
req2024-05-12T14:24:11.188911700Z0.34281196020392646,1706692301610,1727528873038,0,1197910,49
req2024-05-12T14:24:11.185856200Z0.6898008847416012,1706691867190,1727531438618,0,199990,50
req2024-05-12T14:24:11.191917100Z0.5497501527716501,1706692301680,1727525873108,0,1186360,50
req2024-05-12T14:24:11.188911700Z0.41014946986376744,1706692136550,1727528707978,0,720160,50
req2024-05-12T14:24:11.186856400Z0.3583951349186564,1706691911360,1727530482788,0,336140,50
req2024-05-12T14:24:11.186856400Z0.12385733470650762,1706692284880,1727530856308,0,1174250,50
req2024-05-12T14:24:11.172805600Z0.7359410320924726,1706691865580,1727544437008,0,111440,50
req2024-05-12T14:24:11.183855Z0.17004352630422293,1706692209350,1727533780778,0,858830,50
req2024-05-12T14:24:11.191917100Z0.873457825656977,1706692158180,1727525729608,0,784980,50
req2024-05-12T14:24:11.188911700Z0.8837262106133509,1706692003900,1727528575328,0,439670,50
req2024-05-12T14:24:11.187858700Z0.6658494170923657,1706692141730,1727529713158,0,766080,50
req2024-05-12T14:24:11.191917100Z0.28165808334827824,1706692250090,1727525821518,0,979090,50
req2024-05-12T14:24:11.184855Z0.18740387342976716,1706692105470,1727532676898,0,645120,50
req2024-05-12T14:24:11.187858700Z0.6757037710316663,1706692158390,1727529729818,0,784350,50
