RequestURI,StartTime,EndTime,Interval,Duration
req2024-05-12T11:55:01.600192600Z0.49254248317749383,1706693050120,1727435621548,0,604450,50
req2024-05-12T11:55:01.607219600Z0.17851787577202138,1706692781670,1727428353098,0,332850,50
req2024-05-12T11:55:01.610755Z0.6629306001892412,1706693552020,1727426123448,0,1287580,0
req2024-05-12T11:55:01.608222Z0.04414363765594709,1706694155770,1727428727198,0,1161860,0
req2024-05-12T11:55:01.608222Z0.280444574377798,1706693042140,1727427613568,0,507780,50
req2024-05-12T11:55:01.607219600Z0.5712358517405435,1706692497750,1727428069178,0,318290,50
req2024-05-12T11:55:01.600192600Z0.38464833005527066,1706692957090,1727435528518,0,438130,50
req2024-05-12T11:55:01.609738800Z0.6380544517077672,1706694173830,1727427745258,0,1141910,0
req2024-05-12T11:55:01.608222Z0.008967179311734186,1706694708980,1727429280408,0,1067710,0
req2024-05-12T11:55:01.606218800Z0.9111112367027511,1706693049980,1727429621408,0,607390,50
req2024-05-12T11:55:01.608222Z0.3569857239922619,1706692497750,1727427069178,0,544670,50
req2024-05-12T11:55:01.601207600Z0.1087326198527403,1706692495090,1727434066518,0,417620,50
req2024-05-12T11:55:01.603221200Z0.8520892289773025,1706692139770,1727431711198,0,492450,50
req2024-05-12T11:55:01.607219600Z0.7769834183951336,1706693483630,1727429055058,0,1195460,0
req2024-05-12T11:55:01.608222Z0.3336280520699192,1706692448540,1727427019968,0,114590,50
req2024-05-12T11:55:01.572563100Z0.6866692370035506,1706694708280,1727465279708,0,1071980,0
req2024-05-12T11:55:01.601207600Z0.49760190893169376,1706693049490,1727434620918,0,607390,50
req2024-05-12T11:55:01.603221200Z0.9193971699065416,1706693249760,1727432821188,0,535850,50
req2024-05-12T11:55:01.598682Z0.822866582026746,1706693486710,1727438058138,0,1136100,0
req2024-05-12T11:55:01.602228300Z0.3954570645719372,1706692496980,1727433068408,0,350000,50
req2024-05-12T11:55:01.601207600Z0.022044442490162686,1706693553000,1727435124428,0,1208270,0
req2024-05-12T11:55:01.608222Z0.11436105934081953,1706694708210,1727429279638,0,1076810,0
req2024-05-12T11:55:01.610755Z0.6955084324183637,1706693362740,1727425934168,0,382970,2
req2024-05-12T11:55:01.598682Z0.7626394207165604,1706694214220,1727438785648,0,1410710,0
req2024-05-12T11:55:01.608222Z0.35512359569966057,1706694697920,1727429269348,0,729890,0
req2024-05-12T11:55:01.610755Z0.49394623541764415,1706694709050,1727427280478,0,1054340,0
req2024-05-12T11:55:01.608222Z0.6555573567512281,1706692488020,1727427059448,0,276290,50
req2024-05-12T11:55:01.610755Z0.1624948714492377,1706693553280,1727426124708,0,1468320,0
req2024-05-12T11:55:01.603221200Z0.9059665583247296,1706692496490,1727432067918,0,385000,50
req2024-05-12T11:55:01.603221200Z0.2766374131423759,1706692495230,1727432066658,0,411740,50
req2024-05-12T11:55:01.608222Z0.25180292750752875,1706692497470,1727427068898,0,321020,50
req2024-05-12T11:55:01.602228300Z0.31576896949414335,1706693553280,1727434124708,0,1463210,0
req2024-05-12T11:55:01.606218800Z0.19636976339557177,1706693741090,1727430312518,0,1448230,0
req2024-05-12T11:55:01.609738800Z0.13223667834597697,1706693258370,1727426829798,0,458710,44
