RequestURI,StartTime,EndTime,Interval,Duration
req2024-05-12T11:59:22.786329700Z0.10476249277973226,1706692259960,1727491831388,0,1431570,0
req2024-05-12T11:59:22.849398400Z0.15310881264885012,1706692551300,1727429122728,0,3045420,0
req2024-05-12T11:59:22.828922400Z0.8273681620660619,1706692743730,1727450315158,0,3809050,0
req2024-05-12T11:59:22.867359600Z0.5787422634377013,1706692765150,1727411336578,0,3787840,0
req2024-05-12T11:59:22.804931500Z0.5340689180725176,1706692760180,1727474331608,0,3792670,0
req2024-05-12T11:59:22.797392400Z0.5772991892719531,1706692257720,1727480829148,0,1371930,0
req2024-05-12T11:59:22.867359600Z0.09964441115757783,1706692722660,1727411294088,0,3463320,0
req2024-05-12T11:59:22.867359600Z0.5515705125796684,1706691960080,1727410531508,0,849100,49
req2024-05-12T11:59:22.847887200Z0.31128922967971295,1706692686820,1727431258248,0,3265570,0
req2024-05-12T11:59:22.847887200Z0.2458976385107362,1706692551510,1727431122938,0,3049760,0
req2024-05-12T11:59:22.848888600Z0.5219673635702187,1706692445600,1727430017028,0,2413880,0
req2024-05-12T11:59:22.847887200Z0.3325746002614042,1706692710970,1727431282398,0,3300710,0
req2024-05-12T11:59:22.850813100Z0.9990992286705251,1706692262060,1727427833488,0,1516830,0
req2024-05-12T11:59:22.866357400Z0.9518506571307951,1706692190800,1727411762228,0,728770,50
req2024-05-12T11:59:22.870903900Z0.664754048560018,1706692556340,1727408127768,0,3164490,0
req2024-05-12T11:59:22.865362600Z0.4621761897646013,1706692233220,1727412804648,0,975240,50
req2024-05-12T11:59:22.779781900Z0.29484162174113615,1706692379590,1727498951018,0,2148860,0
req2024-05-12T11:59:22.849398400Z0.439759719332778,1706692362650,1727428934078,0,2091600,0
req2024-05-12T11:59:22.847887200Z0.5102172284462647,1706692337800,1727430909228,0,1907430,0
req2024-05-12T11:59:22.870903900Z0.2765785978006814,1706692555500,1727408126928,0,3145590,0
req2024-05-12T11:59:22.849398400Z0.5171054083321546,1706692541010,1727429112438,0,2907660,0
req2024-05-12T11:59:22.847887200Z0.7442754498661751,1706692223210,1727430794638,0,882420,50
req2024-05-12T11:59:22.850813100Z0.5588169949082458,1706692738760,1727428310188,0,3793230,0
req2024-05-12T11:59:22.865362600Z0.28816838071976447,1706692364540,1727412935968,0,2120510,0
req2024-05-12T11:59:22.867359600Z0.5647554483490039,1706692259960,1727410831388,0,1454110,0
req2024-05-12T11:59:22.865362600Z0.06996824377795252,1706692381690,1727412953118,0,2152780,0
req2024-05-12T11:59:22.867359600Z0.923046779547557,1706691947970,1727410519398,0,366240,34
req2024-05-12T11:59:22.773349900Z0.6778175626121317,1706691955040,1727504526468,0,831880,50
req2024-05-12T11:59:22.777349600Z0.7146088243639102,1706692670020,1727501241448,0,3233370,0
req2024-05-12T11:59:22.801930200Z0.5796248061333115,1706692328420,1727476899848,0,1886500,0
req2024-05-12T11:59:22.866357400Z0.7025172639691668,1706692406680,1727411978108,0,2342200,0
req2024-05-12T11:59:22.830294600Z0.9875496438883216,1706692504470,1727448075898,0,2575860,0
req2024-05-12T11:59:22.731642300Z0.5785436365158854,1706692663790,1727547235218,0,3164000,0
req2024-05-12T11:59:22.848888600Z0.727626115441644,1706692498800,1727430070228,0,2458750,0
req2024-05-12T11:59:22.867359600Z0.40054673521725825,1706692508670,1727411080098,0,2751280,0
req2024-05-12T11:59:22.865362600Z0.2574032252856455,1706692369790,1727412941218,0,2121070,0
req2024-05-12T11:59:22.851826Z0.22638909759942205,1706692508180,1727427079608,0,2718450,0
req2024-05-12T11:59:22.850813100Z0.9325105207353654,1706692255620,1727427827048,0,1363740,0
req2024-05-12T11:59:22.866357400Z0.608713864670248,1706692259750,1727411831178,0,1416030,0
req2024-05-12T11:59:22.849398400Z0.47587454134025287,1706692211800,1727428783228,0,879760,50
req2024-05-12T11:59:22.851826Z0.3027218892411262,1706692279700,1727426851128,0,1898120,0
req2024-05-12T11:59:22.849398400Z0.6557262341492252,1706692282080,1727428853508,0,1920100,0
req2024-05-12T11:59:22.865362600Z0.41126536466709585,1706692505100,1727413076528,0,2574670,0
req2024-05-12T11:59:22.866357400Z0.22390221631565754,1706692251350,1727411822778,0,1290940,0
req2024-05-12T11:59:22.867359600Z0.978155347279966,1706692255340,1727410826768,0,1351630,0
req2024-05-12T11:59:22.851826Z0.32863335460438414,1706692556130,1727427127558,0,3148110,0
req2024-05-12T11:59:22.867359600Z0.07022295836326164,1706692265070,1727410836498,0,1570660,0
req2024-05-12T11:59:22.846889300Z0.004098532731708904,1706692429010,1727432000438,0,2422560,0
req2024-05-12T11:59:22.849398400Z0.22532257183298576,1706692371190,1727428942618,0,2126320,0
req2024-05-12T11:59:22.866357400Z0.4385110022296259,1706692508040,1727412079468,0,2726360,0
req2024-05-12T11:59:22.848888600Z0.6299767761379326,1706692272490,1727429843918,0,1824550,0
req2024-05-12T11:59:22.850813100Z0.01730148686883215,1706692507900,1727428079328,0,2691780,0
req2024-05-12T11:59:22.870903900Z0.15361226761002944,1706692446650,1727408018078,0,2416260,0
req2024-05-12T11:59:22.866357400Z0.8747988425455572,1706692265000,1727411836428,0,1574090,0
req2024-05-12T11:59:22.794889300Z0.21895740701630084,1706692653500,1727484224928,0,3150490,0
req2024-05-12T11:59:22.867359600Z0.9791084592621989,1706692551790,1727411123218,0,3084970,0
req2024-05-12T11:59:22.866357400Z0.5126173957813717,1706692254360,1727411825788,0,1327900,0
req2024-05-12T11:59:22.851826Z0.3939055563527256,1706692542200,1727427113628,0,2925370,0
req2024-05-12T11:59:22.847887200Z0.03756358463565079,1706692392750,1727430964178,0,2279550,0
req2024-05-12T11:59:22.867359600Z0.7343778070623597,1706692246450,1727410817878,0,1003940,6
req2024-05-12T11:59:22.849398400Z0.783636737315902,1706692251770,1727428823198,0,1299060,0
req2024-05-12T11:59:22.871927100Z0.37985250099821477,1706692279910,1727406851338,0,1900150,0
req2024-05-12T11:59:22.865362600Z0.035422032246162694,1706692341230,1727412912658,0,1939770,0
req2024-05-12T11:59:22.869894Z0.0390486144213239,1706692389530,1727408960958,0,2265340,0
req2024-05-12T11:59:22.849398400Z0.6204024348008055,1706692541710,1727429113138,0,2913260,0
req2024-05-12T11:59:22.851826Z0.9775057602300817,1706692493970,1727427065398,0,2408560,0
req2024-05-12T11:59:22.867359600Z0.6647824461304648,1706692392820,1727410964248,0,2276260,0
req2024-05-12T11:59:22.847887200Z0.557858978623328,1706692554870,1727431126298,0,3127180,0
req2024-05-12T11:59:22.867359600Z0.37592649362081265,1706692262130,1727410833558,0,1516060,0
req2024-05-12T11:59:22.846889300Z0.8462663960061599,1706692507620,1727432079048,0,2684990,0
req2024-05-12T11:59:22.867359600Z0.5079306400917123,1706692211800,1727410783228,0,856240,50
req2024-05-12T11:59:22.867359600Z0.8522408805640429,1706692720140,1727411291568,0,3348380,0
req2024-05-12T11:59:22.850813100Z0.5057948705608589,1706692277250,1727427848678,0,1892380,0
req2024-05-12T11:59:22.849398400Z0.06673192206615808,1706692439300,1727429010728,0,2417170,0
req2024-05-12T11:59:22.847887200Z0.4735807166976831,1706692717970,1727431289398,0,3339630,0
req2024-05-12T11:59:22.848888600Z0.1653219242868894,1706692244840,1727429816268,0,1005480,6
req2024-05-12T11:59:22.799920700Z0.246496198755362,1706692357470,1727478928898,0,2068080,0
req2024-05-12T11:59:22.847887200Z0.9896325304743187,1706692555010,1727431126438,0,3139990,0
req2024-05-12T11:59:22.867359600Z0.44817717165111903,1706692276970,1727410848398,0,1888950,0
req2024-05-12T11:59:22.847887200Z0.42625089045402087,1706692234130,1727430805558,0,977970,50
req2024-05-12T11:59:22.869894Z0.40041679827864396,1706692659800,1727409231228,0,3149580,0
req2024-05-12T11:59:22.867359600Z0.4009830107193043,1706692258280,1727410829708,0,1406790,0
req2024-05-12T11:59:22.784329400Z0.7744064703689788,1706692261290,1727493832718,0,1480920,0
req2024-05-12T11:59:22.850813100Z0.014551582737392876,1706692340950,1727427912378,0,1940120,0
req2024-05-12T11:59:22.867359600Z0.22084859979513438,1706692343960,1727410915388,0,2006200,0
req2024-05-12T11:59:22.866357400Z0.8676356193422982,1706692234270,1727411805698,0,1000930,50
req2024-05-12T11:59:22.847887200Z0.29796488983310654,1706692724970,1727431296398,0,3507560,0
req2024-05-12T11:59:22.866357400Z0.8576098834146926,1706692383650,1727411955078,0,2219980,0
req2024-05-12T11:59:22.847887200Z0.9980660076948199,1706692500060,1727431071488,0,2491020,0
req2024-05-12T11:59:22.851826Z0.6686121068970527,1706692553190,1727427124618,0,3118430,0
req2024-05-12T11:59:22.850813100Z0.9448225848217666,1706692503560,1727428074988,0,2517200,0
req2024-05-12T11:59:22.850813100Z0.44492897748499904,1706692497400,1727428068828,0,2435510,0
req2024-05-12T11:59:22.847887200Z0.5448445939790235,1706692405560,1727430976988,0,2327500,0
req2024-05-12T11:59:22.846889300Z0.7199924191852342,1706692669740,1727432241168,0,3217200,0
req2024-05-12T11:59:22.867359600Z0.9643626185003781,1706692265000,1727410836428,0,1560300,0
req2024-05-12T11:59:22.848888600Z0.5537563320186375,1706692508740,1727430080168,0,2753170,0
req2024-05-12T11:59:22.851826Z0.8226755318066354,1706692403040,1727426974468,0,2319870,0
req2024-05-12T11:59:22.866357400Z0.9693789368055389,1706691992700,1727411564128,0,825510,49
req2024-05-12T11:59:22.867359600Z0.6926779508711345,1706692145160,1727410716588,0,749770,50
req2024-05-12T11:59:22.871927100Z0.9563124263912429,1706692342770,1727406914198,0,1999060,0
req2024-05-12T11:59:22.867359600Z0.6418369674437578,1706692509440,1727411080868,0,2763530,0
req2024-05-12T11:59:22.870903900Z0.8427143021557985,1706692531840,1727408103268,0,2894080,0
req2024-05-12T11:59:22.867359600Z0.37311500472983294,1706692722660,1727411294088,0,3446310,0
req2024-05-12T11:59:22.851826Z0.6105092846342756,1706692247990,1727426819418,0,1003030,5
req2024-05-12T11:59:22.867359600Z0.6242421713585345,1706692711180,1727411282608,0,3344320,0
req2024-05-12T11:59:22.806933600Z0.15862914981618115,1706692370910,1727471942338,0,2122890,0
req2024-05-12T11:59:22.865362600Z0.5867907809050149,1706692357470,1727412928898,0,2071160,0
req2024-05-12T11:59:22.850813100Z0.13283211626205382,1706692506920,1727428078348,0,2606100,0
req2024-05-12T11:59:22.851826Z0.1295243014927705,1706692263880,1727426835308,0,1517880,0
