RequestURI,StartTime,EndTime,Interval,Duration
req2024-05-12T14:20:16.477728800Z0.7131590529653313,1706691953500,1727521524928,0,759080,50
req2024-05-12T14:20:16.477082900Z0.2951660862530232,1706691864180,1727521435608,0,45360,50
req2024-05-12T14:20:16.472775900Z0.5303349892237251,1706691939500,1727526510928,0,630140,50
req2024-05-12T14:20:16.470777800Z0.0488898389038851,1706691958750,1727528530178,0,795270,50
req2024-05-12T14:20:16.477728800Z0.04238828027116992,1706692002920,1727521574348,0,1202390,50
req2024-05-12T14:20:16.472775900Z0.3708715682018403,1706691907020,1727526478448,0,391090,50
req2024-05-12T14:20:16.473775500Z0.8175284316343855,1706691928160,1727525499588,0,558390,50
req2024-05-12T14:20:16.477728800Z0.40488814362516146,1706691968690,1727521540118,0,876050,50
req2024-05-12T14:20:16.477728800Z0.2883735809133512,1706691939640,1727521511068,0,638610,50
req2024-05-12T14:20:16.475773Z0.4744460382277905,1706691983320,1727523554748,0,995050,50
req2024-05-12T14:20:16.471775900Z0.7979750512784678,1706691926130,1727527497558,0,541240,50
req2024-05-12T14:20:16.474777800Z0.4352997244869554,1706691930190,1727524501618,0,588000,50
req2024-05-12T14:20:16.457289900Z0.11966736908491538,1706691864180,1727541435608,0,35980,50
req2024-05-12T14:20:16.474777800Z0.034247997914152006,1706691971140,1727524542568,0,907270,50
req2024-05-12T14:20:16.477082900Z0.32275762591512835,1706691864250,1727521435678,0,45430,50
req2024-05-12T14:20:16.478792400Z0.39275018455374655,1706691890640,1727520462068,0,285950,50
req2024-05-12T14:20:16.472775900Z0.6932852010529917,1706691953710,1727526525138,0,762230,50
req2024-05-12T14:20:16.475773Z0.3288399288841295,1706691979120,1727523550548,0,950460,50
req2024-05-12T14:20:16.475773Z0.30375793489885883,1706692003830,1727523575258,0,1242150,50
req2024-05-12T14:20:16.473775500Z0.026403476538193194,1706692003200,1727525574628,0,1225350,50
req2024-05-12T14:20:16.477728800Z0.7554155437854372,1706691865440,1727521436868,0,109760,50
req2024-05-12T14:20:16.477728800Z0.25257819049744035,1706691979540,1727521550968,0,959350,50
req2024-05-12T14:20:16.472775900Z0.288006186770431,1706691952870,1727526524298,0,758450,50
req2024-05-12T14:20:16.458868300Z0.22369480819081566,1706691885530,1727540456958,0,230370,50
req2024-05-12T14:20:16.477728800Z0.7471000858564789,1706691988920,1727521560348,0,1062320,50
req2024-05-12T14:20:16.477728800Z0.5858996070619142,1706691863830,1727521435258,0,14770,50
req2024-05-12T14:20:16.471775900Z0.00917634984075777,1706691920040,1727527491468,0,506240,50
req2024-05-12T14:20:16.473775500Z0.23888711874090773,1706691996340,1727525567768,0,1153530,50
req2024-05-12T14:20:16.477728800Z0.2712273397068239,1706691965890,1727521537318,0,864920,50
req2024-05-12T14:20:16.477082900Z0.05016588503398656,1706691865370,1727521436798,0,109480,50
req2024-05-12T14:20:16.474777800Z0.7569139184887365,1706691909750,1727524481178,0,418810,50
req2024-05-12T14:20:16.470777800Z0.01864826143931375,1706691985700,1727528557128,0,1048950,50
req2024-05-12T14:20:16.475773Z0.2336191512083141,1706691915350,1727523486778,0,511280,50
req2024-05-12T14:20:16.478792400Z0.5744184413249732,1706691904640,1727520476068,0,358050,50
req2024-05-12T14:20:16.475773Z0.5447763918915778,1706692003060,1727523574488,0,1213940,50
req2024-05-12T14:20:16.471775900Z0.11894825351755212,1706691964280,1727527535708,0,850640,50
req2024-05-12T14:20:16.477728800Z0.10964379967725546,1706691989480,1727521560908,0,1078280,50
req2024-05-12T14:20:16.473775500Z0.35705184243961363,1706691878670,1727525450098,0,190960,50
req2024-05-12T14:20:16.475773Z0.4453852525558717,1706691944400,1727523515828,0,685790,50
req2024-05-12T14:20:16.477728800Z0.09143965086609895,1706691866700,1727521438128,0,122640,50
req2024-05-12T14:20:16.473775500Z0.2689551566136904,1706691891340,1727525462768,0,311780,50
req2024-05-12T14:20:16.473775500Z0.3480286167531953,1706691970160,1727525541588,0,898660,50
req2024-05-12T14:20:16.477728800Z0.9588461790123801,1706691974990,1727521546418,0,929600,50
req2024-05-12T14:20:16.477728800Z0.07240686065504187,1706691959450,1727521530878,0,809410,50
req2024-05-12T14:20:16.472775900Z0.6300728430088348,1706691969950,1727526541378,0,900620,50
req2024-05-12T14:20:16.478792400Z0.37384209865092655,1706691879090,1727520450518,0,201600,50
req2024-05-12T14:20:16.471775900Z0.9349751214932067,1706692001380,1727527572808,0,1190350,50
req2024-05-12T14:20:16.471775900Z0.8890584662403646,1706691929140,1727527500568,0,570570,50
req2024-05-12T14:20:16.471775900Z0.10181183263592863,1706691928440,1727527499868,0,557270,50
req2024-05-12T14:20:16.473775500Z0.6204037232983053,1706691990390,1727525561818,0,1098650,50
req2024-05-12T14:20:16.477728800Z0.17775633377860134,1706691953290,1727521524718,0,759290,50
req2024-05-12T14:20:16.475773Z0.7140868517042266,1706691925360,1727523496788,0,539140,50
req2024-05-12T14:20:16.472775900Z0.5732145770528945,1706691985420,1727526556848,0,1035160,50
req2024-05-12T14:20:16.478792400Z0.7756097949777189,1706691878740,1727520450168,0,195650,50
req2024-05-12T14:20:16.473775500Z0.5825574715501884,1706691940830,1727525512258,0,642670,50
req2024-05-12T14:20:16.478792400Z0.14848311353528687,1706691902120,1727520473548,0,348460,50
req2024-05-12T14:20:16.475773Z0.7520189447555469,1706691910310,1727523481738,0,435470,50
req2024-05-12T14:20:16.477728800Z0.1131446672871309,1706691915910,1727521487338,0,509460,50
req2024-05-12T14:20:16.471775900Z0.8903221803956273,1706691948250,1727527519678,0,703640,50
req2024-05-12T14:20:16.474777800Z0.4571230312335681,1706691943560,1727524514988,0,666750,50
req2024-05-12T14:20:16.478792400Z0.7730994805426913,1706691907230,1727520478658,0,395920,50
req2024-05-12T14:20:16.477728800Z0.07114178059268761,1706691975480,1727521546908,0,935270,50
req2024-05-12T14:20:16.474777800Z0.02633562049521876,1706691890080,1727524461508,0,275730,50
req2024-05-12T14:20:16.474777800Z0.4621988417969023,1706691949230,1727524520658,0,729540,50
req2024-05-12T14:20:16.477082900Z0.8850987967939463,1706691867050,1727521438478,0,140980,50
req2024-05-12T14:20:16.478792400Z0.2562585159868658,1706691885250,1727520456678,0,218470,50
req2024-05-12T14:20:16.460809100Z0.31618094174524547,1706691959240,1727538530668,0,803320,50
req2024-05-12T14:20:16.475773Z0.34110450735451536,1706691933550,1727523504978,0,619780,50
req2024-05-12T14:20:16.472775900Z0.8128373538510314,1706691965120,1727526536548,0,854980,50
req2024-05-12T14:20:16.478792400Z0.3362537272481193,1706691924800,1727520496228,0,529270,50
req2024-05-12T14:20:16.475773Z0.7030642731381415,1706692006910,1727523578338,0,1354920,50
req2024-05-12T14:20:16.477728800Z0.451830890262114,1706691888610,1727521460038,0,250320,50
req2024-05-12T14:20:16.471775900Z0.1281182001334824,1706691989760,1727527561188,0,1092210,50
req2024-05-12T14:20:16.478792400Z0.1275667775111411,1706691909820,1727520481248,0,418670,50
req2024-05-12T14:20:16.472775900Z0.06650888579706515,1706691866980,1727526438408,0,122220,50
req2024-05-12T14:20:16.478792400Z0.1565794309304419,1706691873490,1727520444918,0,192430,50
req2024-05-12T14:20:16.474777800Z0.5340525690918168,1706691979960,1727524551388,0,962430,50
req2024-05-12T14:20:16.473775500Z0.40775654764101077,1706691900230,1727525471658,0,338450,50
req2024-05-12T14:20:16.477728800Z0.9924666136373705,1706691885250,1727521456678,0,211400,50
req2024-05-12T14:20:16.474777800Z0.04797757455811236,1706691891690,1727524463118,0,319970,50
req2024-05-12T14:20:16.477082900Z0.13049953138710024,1706691868170,1727521439598,0,168070,50
req2024-05-12T14:20:16.477728800Z0.2426905625239385,1706691939780,1727521511208,0,637280,50
req2024-05-12T14:20:16.471775900Z0.7125297455817303,1706691979890,1727527551318,0,964740,50
req2024-05-12T14:20:16.474777800Z0.32953505055689714,1706691997250,1727524568678,0,1153740,50
req2024-05-12T14:20:16.478792400Z0.4612041417937096,1706691924660,1727520496088,0,523880,50
req2024-05-12T14:20:16.471775900Z0.856908528368713,1706691952730,1727527524158,0,751800,50
req2024-05-12T14:20:16.477728800Z0.8120053677098118,1706691994380,1727521565808,0,1129940,50
req2024-05-12T14:20:16.475773Z0.2751998274357923,1706692007190,1727523578618,0,1354710,50
req2024-05-12T14:20:16.471775900Z0.9769317637333726,1706691911010,1727527482438,0,514360,50
req2024-05-12T14:20:16.472775900Z0.05363346742798503,1706691997880,1727526569308,0,1158570,50
req2024-05-12T14:20:16.475773Z0.7544872109282474,1706691939150,1727523510578,0,626080,50
req2024-05-12T14:20:16.461819400Z0.16902717890167995,1706691984440,1727537555868,0,1000720,50
req2024-05-12T14:20:16.473775500Z0.008653111434125171,1706691974640,1727525546068,0,922180,50
req2024-05-12T14:20:16.474777800Z0.8157159126517926,1706691981850,1727524553278,0,988330,50
req2024-05-12T14:20:16.478792400Z0.9055145535054444,1706691895680,1727520467108,0,328860,50
req2024-05-12T14:20:16.478792400Z0.7650200133305419,1706691915280,1727520486708,0,511420,50
req2024-05-12T14:20:16.478792400Z0.9888417859633658,1706691884690,1727520456118,0,207760,50
req2024-05-12T14:20:16.478792400Z0.3580867901675294,1706691919900,1727520491328,0,507220,50
req2024-05-12T14:20:16.477728800Z0.25117368191428413,1706691933900,1727521505328,0,619430,50
req2024-05-12T14:20:16.477728800Z0.26255261269393526,1706691943770,1727521515198,0,672560,50
req2024-05-12T14:20:16.477082900Z0.5682288220304925,1706691864670,1727521436098,0,64190,50
req2024-05-12T14:20:16.475773Z0.15807503639664722,1706691901140,1727523472568,0,339150,50
req2024-05-12T14:20:16.457289900Z0.3506222410627222,1706691945660,1727541517088,0,690830,50
req2024-05-12T14:20:16.474777800Z0.7354908379413082,1706691890640,1727524462068,0,290850,50
req2024-05-12T14:20:16.472775900Z0.07676507958637102,1706691943700,1727526515128,0,667730,50
req2024-05-12T14:20:16.450149600Z0.7447719201726465,1706691958610,1727548530038,0,795410,50
req2024-05-12T14:20:16.471775900Z0.10227116694998195,1706691984650,1727527556078,0,1003800,50
req2024-05-12T14:20:16.477728800Z0.0769114110747553,1706691993400,1727521564828,0,1115590,50
req2024-05-12T14:20:16.472775900Z0.9221826083806896,1706691943560,1727526514988,0,666890,50
req2024-05-12T14:20:16.477728800Z0.11673305735463113,1706691963860,1727521535288,0,835520,50
req2024-05-12T14:20:16.474777800Z0.6859296203111092,1706691948250,1727524519678,0,702310,50
req2024-05-12T14:20:16.462819Z0.11768521103565244,1706691943840,1727536515268,0,671720,50
req2024-05-12T14:20:16.477728800Z0.4801239803227205,1706691984860,1727521556288,0,1007020,50
req2024-05-12T14:20:16.471775900Z0.3899970323257532,1706691924380,1727527495808,0,518000,50
req2024-05-12T14:20:16.478792400Z0.20648091490688647,1706691909890,1727520481318,0,428400,50
req2024-05-12T14:20:16.477728800Z0.13921401088393537,1706691950000,1727521521428,0,754600,50
req2024-05-12T14:20:16.477728800Z0.6031482105898471,1706691953640,1727521525068,0,762370,50
req2024-05-12T14:20:16.477728800Z0.4132898264650464,1706691954130,1727521525558,0,767550,50
req2024-05-12T14:20:16.477082900Z0.3372568358115736,1706691868170,1727521439598,0,171920,50
req2024-05-12T14:20:16.474777800Z0.7620192944049886,1706691975900,1727524547328,0,946890,50
req2024-05-12T14:20:16.471775900Z0.9181499482117075,1706691933760,1727527505188,0,620200,50
req2024-05-12T14:20:16.475773Z0.39023309955538454,1706691900370,1727523471798,0,337750,50
req2024-05-12T14:20:16.475773Z0.043730585954465995,1706691941250,1727523512678,0,643300,50
req2024-05-12T14:20:16.473775500Z0.7649085789730239,1706691865510,1727525436938,0,114240,50
req2024-05-12T14:20:16.477728800Z0.27156858738328327,1706691938380,1727521509808,0,617750,50
req2024-05-12T14:20:16.474777800Z0.786651092741658,1706691944540,1727524515968,0,686630,50
req2024-05-12T14:20:16.477082900Z0.7368363844871376,1706691867470,1727521438898,0,153720,50
req2024-05-12T14:20:16.472775900Z0.5506169963953115,1706691905970,1727526477398,0,378980,50
req2024-05-12T14:20:16.472775900Z5.217719878878313E-4,1706691988850,1727526560278,0,1062530,50
