RequestURI,StartTime,EndTime,Interval,Duration
req2024-05-12T19:22:21.893920500Z0.9854380447828073,1706691879160,1706691912200,0,33040,0
req2024-05-12T19:22:21.906206600Z0.8352284517335836,1706691908350,1706691999980,0,91630,0
req2024-05-12T19:22:21.890734900Z0.5697461606317663,1706691879580,1706691910870,0,31290,0
req2024-05-12T19:22:21.904206300Z0.3039907906615227,1706691896730,1706691988920,0,92190,0
req2024-05-12T19:22:21.873103600Z0.2182335422945677,1706691895680,1706691978490,0,82810,0
req2024-05-12T19:22:21.860071700Z0.16359227320326641,1706691907300,1706691990460,0,83160,0
req2024-05-12T19:22:21.920257300Z0.2624695471592813,1706691907300,1706691982200,0,74900,0
req2024-05-12T19:22:21.870094400Z0.3576063021983299,1706691908490,1706692001030,0,92540,0
req2024-05-12T19:22:21.908204900Z0.111381886237638,1706691907370,1706691993750,0,86380,0
req2024-05-12T19:22:21.909206200Z0.823822521845306,1706691907860,1706691997950,0,90090,0
req2024-05-12T19:22:21.915797Z0.42570979058103364,1706691879650,1706691916400,0,36750,0
req2024-05-12T19:22:21.895942600Z0.6885806125133139,1706691879650,1706691934110,0,54460,0
req2024-05-12T19:22:21.882405800Z0.8391858389589374,1706691879790,1706691910380,0,30590,0
req2024-05-12T19:22:21.889310700Z0.4661631475939544,1706691895190,1706691971560,0,76370,0
req2024-05-12T19:22:21.898930700Z0.024467378241250226,1706691896100,1706691973170,0,77070,0
req2024-05-12T19:22:21.921273200Z0.965264223897255,1706691897640,1706691983320,0,85680,0
req2024-05-12T19:22:21.911199500Z0.3691651841417666,1706691906810,1706691991020,0,84210,0
req2024-05-12T19:22:21.864069800Z0.2409411291005985,1706691897850,1706691982620,0,84770,0
req2024-05-12T19:22:21.922272300Z0.44178567177717,1706691908420,1706691999630,0,91210,0
req2024-05-12T19:22:21.875103400Z0.821336014742892,1706691907510,1706691993960,0,86450,0
req2024-05-12T19:22:21.916743500Z0.8881545670578801,1706691880000,1706691910730,0,30730,0
req2024-05-12T19:22:21.892743500Z0.6506549054758901,1706691879790,1706691932850,0,53060,0
req2024-05-12T19:22:21.876103100Z0.8323854618516515,1706691896870,1706691984720,0,87850,0
req2024-05-12T19:22:21.896930400Z0.804527561003058,1706691895680,1706691973170,0,77490,0
req2024-05-12T19:22:21.901683700Z0.08332039304411154,1706691907510,1706691994240,0,86730,0
req2024-05-12T19:22:21.895942600Z0.887138812219522,1706691886160,1706691934600,0,48440,0
req2024-05-12T19:22:21.903205200Z0.7552919395147019,1706691894980,1706691965680,0,70700,0
req2024-05-12T19:22:21.897931300Z0.7740754024067141,1706691879650,1706691910030,0,30380,0
req2024-05-12T19:22:21.904206300Z0.7270824940012577,1706691906320,1706691990250,0,83930,0
req2024-05-12T19:22:21.892743500Z0.35161601637518014,1706691872580,1706691891270,0,18690,0
req2024-05-12T19:22:21.907208400Z0.6846489985086768,1706691907160,1706691990180,0,83020,0
req2024-05-12T19:22:21.904206300Z0.8281899188413913,1706691907510,1706691993120,0,85610,0
req2024-05-12T19:22:21.858993900Z0.983634512720115,1706691895960,1706691967080,0,71120,0
req2024-05-12T19:22:21.884788400Z0.8371862640583131,1706691906880,1706691987310,0,80430,0
req2024-05-12T19:22:21.887787100Z0.9945653091237469,1706691872510,1706691893720,0,21210,0
req2024-05-12T19:22:21.865071200Z0.5126997296025034,1706691891200,1706691933480,0,42280,0
req2024-05-12T19:22:21.913214700Z0.6752723540510109,1706691907930,1706692000610,0,92680,0
req2024-05-12T19:22:21.916743500Z0.14224235005779373,1706691895820,1706691969390,0,73570,0
req2024-05-12T19:22:21.915797Z0.2647002102038546,1706691879580,1706691933690,0,54110,0
req2024-05-12T19:22:21.870094400Z0.706087557069073,1706691909260,1706692001590,0,92330,0
req2024-05-12T19:22:21.878890600Z0.06178186552624099,1706691880000,1706691915910,0,35910,0
req2024-05-12T19:22:21.890734900Z0.40921747172309353,1706691907370,1706691994030,0,86660,0
req2024-05-12T19:22:21.866562100Z0.8249579793487813,1706691901630,1706691985840,0,84210,0
