RequestURI,StartTime,EndTime,Interval,Duration
req2024-05-12T19:13:14.342329100Z0.7036495987628119,1706691970440,1706692060530,0,90090,0
req2024-05-12T19:13:14.345325Z0.26361196337135884,1706691970580,1706692061020,0,90440,0
req2024-05-12T19:13:14.345325Z0.7264989227877894,1706691867680,1706691878600,0,10920,0
req2024-05-12T19:13:14.388451Z0.40798721882482014,1706691868730,1706691891970,0,23240,0
req2024-05-12T19:13:14.358523900Z0.7194590940712727,1706691974080,1706692059690,0,85610,0
req2024-05-12T19:13:14.368061500Z0.570812460102748,1706691908630,1706691923820,0,15190,0
req2024-05-12T19:13:14.348322700Z0.7493363700300313,1706691932430,1706691938380,0,5950,0
req2024-05-12T19:13:14.384352Z0.16971646982724597,1706691912200,1706691923050,0,10850,0
req2024-05-12T19:13:14.384352Z0.961934204523398,1706691971350,1706692055910,0,84560,0
req2024-05-12T19:13:14.337196400Z0.3587921201177343,1706691967710,1706692059340,0,91630,0
req2024-05-12T19:13:14.386452300Z0.852966111372883,1706691879650,1706691911500,0,31850,0
req2024-05-12T19:13:14.359505600Z0.5648079229015162,1706691970580,1706692060180,0,89600,0
req2024-05-12T19:13:14.339182500Z0.6914252575432175,1706691924590,1706691936280,0,11690,0
req2024-05-12T19:13:14.351326900Z0.4078915109273593,1706691932220,1706691942230,0,10010,0
req2024-05-12T19:13:14.383344400Z0.30797108275352447,1706691922840,1706691927320,0,4480,0
req2024-05-12T19:13:14.369060Z0.4634391946841905,1706692001800,1706692100500,0,98700,0
req2024-05-12T19:13:14.379179900Z0.38448776846242505,1706692001660,1706692102600,0,100940,0
req2024-05-12T19:13:14.378151100Z0.3389437290161651,1706691981780,1706692059830,0,78050,0
req2024-05-12T19:13:14.365058700Z0.13027742518878338,1706692001800,1706692101900,0,100100,0
req2024-05-12T19:13:14.340181400Z0.2203309991338216,1706691959380,1706691967850,0,8470,0
req2024-05-12T19:13:14.342329100Z0.772492890905701,1706692027140,1706692102180,0,75040,0
req2024-05-12T19:13:14.348322700Z0.7470303482112409,1706691974080,1706692034910,0,60830,0
req2024-05-12T19:13:14.386452300Z0.46785168589032144,1706691974500,1706692059270,0,84770,0
req2024-05-12T19:13:14.364058400Z0.737182960917752,1706691938590,1706691950910,0,12320,0
req2024-05-12T19:13:14.350322900Z0.8350561416192578,1706691979610,1706692061090,0,81480,0
req2024-05-12T19:13:14.389481800Z0.8700078124164686,1706691905690,1706691918990,0,13300,0
req2024-05-12T19:13:14.381153500Z0.5713871839922308,1706692001870,1706692100990,0,99120,0
req2024-05-12T19:13:14.355522700Z0.8881015231181654,1706691970930,1706692060810,0,89880,0
req2024-05-12T19:13:14.351326900Z0.6602707175632117,1706691923260,1706691927320,0,4060,0
req2024-05-12T19:13:14.381153500Z0.7004065130912115,1706691970580,1706692061230,0,90650,0
req2024-05-12T19:13:14.357521600Z0.06514843799385583,1706691898410,1706691922910,0,24500,0
req2024-05-12T19:13:14.339182500Z0.3957965541022854,1706691981780,1706692061020,0,79240,0
req2024-05-12T19:13:14.376158200Z0.44883958111052624,1706691954620,1706691960990,0,6370,0
req2024-05-12T19:13:14.342329100Z0.5975681296163963,1706691903800,1706691919620,0,15820,0
req2024-05-12T19:13:14.379179900Z0.9355824812933505,1706691974080,1706692055560,0,81480,0
req2024-05-12T19:13:14.347307600Z0.45602170688151633,1706691932640,1706691947200,0,14560,0
req2024-05-12T19:13:14.358523900Z0.3143458405620312,1706691971000,1706692061020,0,90020,0
req2024-05-12T19:13:14.359505600Z0.9067590920066547,1706691966380,1706692055700,0,89320,0
req2024-05-12T19:13:14.385459700Z0.9976705832526336,1706692028960,1706692102460,0,73500,0
req2024-05-12T19:13:14.353522500Z0.7337938192303385,1706691871250,1706691882520,0,11270,0
req2024-05-12T19:13:14.343325500Z0.37443035927306056,1706691972120,1706692055280,0,83160,0
req2024-05-12T19:13:14.363061900Z0.365251585097329,1706691867680,1706691892950,0,25270,0
req2024-05-12T19:13:14.354523Z0.8570461432041734,1706691876010,1706691912340,0,36330,0
req2024-05-12T19:13:14.369060Z0.9447623103966684,1706692000680,1706692100640,0,99960,0
req2024-05-12T19:13:14.362062200Z0.11692260200761162,1706691913880,1706691923960,0,10080,0
req2024-05-12T19:13:14.339182500Z0.3358400287335175,1706691868730,1706691891480,0,22750,0
req2024-05-12T19:13:14.353522500Z0.02862225442397104,1706691975970,1706692060180,0,84210,0
req2024-05-12T19:13:14.380172200Z0.8759506086467472,1706692001590,1706692100710,0,99120,0
req2024-05-12T19:13:14.356506Z0.13290403166409692,1706692000540,1706692102040,0,101500,0
req2024-05-12T19:13:14.373168500Z0.7257376163816845,1706691868940,1706691878880,0,9940,0
req2024-05-12T19:13:14.375152300Z0.6439682294721772,1706692001310,1706692101830,0,100520,0
req2024-05-12T19:13:14.354523Z0.29456769336335276,1706691968830,1706692059620,0,90790,0
req2024-05-12T19:13:14.363061900Z0.011733542563670207,1706691972960,1706692059970,0,87010,0
req2024-05-12T19:13:14.366057900Z0.6510543641455848,1706691981780,1706692059340,0,77560,0
req2024-05-12T19:13:14.375152300Z0.45048908709093805,1706691957700,1706691965890,0,8190,0
req2024-05-12T19:13:14.370062Z0.2541176359244397,1706691971210,1706692060600,0,89390,0
req2024-05-12T19:13:14.349307800Z0.09446513294847714,1706691999840,1706692062630,0,62790,0
req2024-05-12T19:13:14.342329100Z0.8370710460107624,1706692000610,1706692102320,0,101710,0
req2024-05-12T19:13:14.342329100Z0.18612435874522149,1706691942230,1706691955180,0,12950,0
req2024-05-12T19:13:14.369060Z0.9654642414286404,1706691968480,1706692060670,0,92190,0
req2024-05-12T19:13:14.356506Z0.5295063482496372,1706691878880,1706691914090,0,35210,0
req2024-05-12T19:13:14.361026900Z0.08945209294135215,1706692002010,1706692100220,0,98210,0
req2024-05-12T19:13:14.357521600Z0.1327010004279574,1706691968480,1706692060390,0,91910,0
req2024-05-12T19:13:14.384352Z0.35468113626282327,1706691971000,1706692059200,0,88200,0
req2024-05-12T19:13:14.387465700Z0.21193496953720725,1706691898340,1706691919130,0,20790,0
req2024-05-12T19:13:14.389481800Z0.7556707002134195,1706691973170,1706692060390,0,87220,0
req2024-05-12T19:13:14.339182500Z0.5492838797678495,1706691973240,1706692034490,0,61250,0
req2024-05-12T19:13:14.344308100Z0.364422838558044,1706691999980,1706692088040,0,88060,0
req2024-05-12T19:13:14.372167100Z0.41183879435703485,1706691970930,1706692060040,0,89110,0
req2024-05-12T19:13:14.355522700Z0.6513686730925892,1706691960640,1706691966590,0,5950,0
req2024-05-12T19:13:14.371061Z0.8794143629149727,1706691971910,1706692055840,0,83930,0
req2024-05-12T19:13:14.367066300Z0.1152169728685204,1706691939640,1706691954690,0,15050,0
req2024-05-12T19:13:14.383344400Z0.695762971461655,1706691972120,1706692061020,0,88900,0
req2024-05-12T19:13:14.350322900Z0.44332241939357775,1706691999840,1706692062000,0,62160,0
