RequestURI,StartTime,EndTime,Interval,Duration
req2024-05-12T19:19:44.510040200Z0.4196895172792632,1706691865020,1706691871460,0,6440,0
req2024-05-12T19:19:44.511047200Z0.33282310309799545,1706691867750,1706691902330,0,34580,0
req2024-05-12T19:19:44.544620Z0.98272253727801,1706691867330,1706691901490,0,34160,0
req2024-05-12T19:19:44.539606700Z0.6949266595989895,1706691873420,1706691916260,0,42840,0
req2024-05-12T19:19:44.513053200Z0.5686543788083317,1706691872020,1706691905830,0,33810,0
req2024-05-12T19:19:44.525576900Z0.13868241250358204,1706691872090,1706691906180,0,34090,0
req2024-05-12T19:19:44.523577400Z0.6280849991244205,1706691876430,1706691926690,0,50260,0
req2024-05-12T19:19:44.519562800Z0.3942880323719756,1706691862850,1706691865720,0,2870,0
req2024-05-12T19:19:44.519562800Z0.2122134144556478,1706691864670,1706691866910,0,2240,0
req2024-05-12T19:19:44.497509200Z0.43976463199568994,1706691866420,1706691901420,0,35000,0
req2024-05-12T19:19:44.507533400Z0.9122119386769735,1706691864880,1706691870270,0,5390,0
req2024-05-12T19:19:44.541613300Z0.45882031858615624,1706691865230,1706691873490,0,8260,0
req2024-05-12T19:19:44.518056500Z0.5765085611483692,1706691873700,1706691917660,0,43960,0
req2024-05-12T19:19:44.532104700Z0.7143313832700233,1706691872720,1706691912550,0,39830,0
req2024-05-12T19:19:44.506532800Z0.26501999740405824,1706691865860,1706691897290,0,31430,0
req2024-05-12T19:19:44.494511100Z0.8060537069202097,1706691870200,1706691904640,0,34440,0
req2024-05-12T19:19:44.494511100Z0.3964043359021402,1706691873070,1706691915000,0,41930,0
req2024-05-12T19:19:44.535098700Z0.9465827233202451,1706691868170,1706691903380,0,35210,0
req2024-05-12T19:19:44.520571200Z0.893355736052493,1706691866910,1706691902540,0,35630,0
req2024-05-12T19:19:44.520571200Z0.32329397698204754,1706691867050,1706691901420,0,34370,0
req2024-05-12T19:19:44.491503900Z0.10157036915341167,1706691873350,1706691914300,0,40950,0
req2024-05-12T19:19:44.544620Z0.8423433620517704,1706691873280,1706691915560,0,42280,0
req2024-05-12T19:19:44.540613700Z0.09076456190114046,1706691872020,1706691904990,0,32970,0
req2024-05-12T19:19:44.542620300Z0.5898247999207864,1706691873210,1706691914510,0,41300,0
req2024-05-12T19:19:44.491503900Z0.9687986438935032,1706691865020,1706691871530,0,6510,0
req2024-05-12T19:19:44.539606700Z0.3018187546141582,1706691866350,1706691900510,0,34160,0
req2024-05-12T19:19:44.524577Z0.1675735463862943,1706691870690,1706691903870,0,33180,0
req2024-05-12T19:19:44.531092600Z0.8667626248805356,1706691874190,1706691920040,0,45850,0
req2024-05-12T19:19:44.543620300Z0.565052370423783,1706691867400,1706691904640,0,37240,0
req2024-05-12T19:19:44.503533700Z0.7165482228886317,1706691864740,1706691868450,0,3710,0
req2024-05-12T19:19:44.537098100Z0.9545331396926906,1706691873700,1706691917660,0,43960,0
req2024-05-12T19:19:44.526575700Z0.9058618693019417,1706691865300,1706691876010,0,10710,0
req2024-05-12T19:19:44.497509200Z0.19261351495958645,1706691867470,1706691901910,0,34440,0
req2024-05-12T19:19:44.501590200Z0.9866455217971994,1706691873630,1706691915910,0,42280,0
req2024-05-12T19:19:44.542620300Z0.2214254981128364,1706691875800,1706691926690,0,50890,0
req2024-05-12T19:19:44.510040200Z0.11397260296830447,1706691874190,1706691919270,0,45080,0
req2024-05-12T19:19:44.518056500Z0.16395460485786595,1706691872440,1706691908490,0,36050,0
req2024-05-12T19:19:44.530084700Z0.5365278759190302,1706691865580,1706691897990,0,32410,0
req2024-05-12T19:19:44.508532500Z0.8097464814938024,1706691872300,1706691906950,0,34650,0
req2024-05-12T19:19:44.510040200Z0.6752121058248607,1706691865510,1706691898200,0,32690,0
req2024-05-12T19:19:44.504532500Z0.492127912061853,1706691873630,1706691916890,0,43260,0
req2024-05-12T19:19:44.535098700Z0.5816549661754545,1706691873000,1706691912060,0,39060,0
req2024-05-12T19:19:44.522576100Z0.04452550383674225,1706691872160,1706691905830,0,33670,0
req2024-05-12T19:19:44.506532800Z0.3540798495879214,1706691873980,1706691918360,0,44380,0
req2024-05-12T19:19:44.512047800Z0.2171638939778091,1706691874190,1706691919550,0,45360,0
req2024-05-12T19:19:44.526575700Z0.9619730084208067,1706691872370,1706691908630,0,36260,0
